                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0913,                 1.7898,                 1.2452,                0.16041,                0.18193,                0.12524,                0.08348,                  1.258,                 2.0759,                 1.4685,               0.006733,               0.006733,               0.006733
                     35,                 1.0841,                 1.7076,                 1.2384,                0.13838,                0.17807,                0.12523,                0.08759,                   1.16,                 2.0592,                 1.3305,               0.006634,               0.006634,               0.006634
                     36,                 1.0574,                 1.7336,                 1.2439,                0.15347,                 0.1946,                0.12126,                0.08679,                 1.1846,                 2.4011,                 1.3791,               0.006535,               0.006535,               0.006535
                     37,                 1.0498,                 1.6678,                 1.2116,                0.19651,                0.20911,                 0.1522,                0.10178,                 1.1911,                 2.0691,                 1.3933,               0.006436,               0.006436,               0.006436
                     38,                 1.0328,                 1.6808,                 1.2213,                0.16993,                0.20776,                0.16697,                0.11531,                 1.1755,                   1.94,                 1.3832,               0.006337,               0.006337,               0.006337
                     39,                 1.0689,                  1.684,                  1.222,                0.23261,                0.21836,                0.17617,                0.12343,                 1.1444,                 1.9335,                 1.3316,               0.006238,               0.006238,               0.006238
                     40,                 1.0599,                 1.7214,                 1.2416,                0.34501,                0.17541,                0.15726,                 0.1051,                 1.2011,                 2.0395,                 1.3831,               0.006139,               0.006139,               0.006139
                     41,                 1.0392,                 1.6522,                 1.2081,                0.18948,                0.17697,                0.15669,                0.10508,                 1.2072,                 2.0386,                 1.3845,                0.00604,                0.00604,                0.00604
                     42,                 1.0069,                 1.6222,                 1.1831,                0.21049,                0.19868,                 0.1728,                0.11938,                 1.1838,                 1.8917,                  1.413,               0.005941,               0.005941,               0.005941
                     43,                 1.0455,                 1.6166,                  1.218,                0.21591,                 0.1712,                0.16285,                0.11284,                 1.1434,                 2.0572,                 1.3552,               0.005842,               0.005842,               0.005842
                     44,                0.99019,                 1.5724,                 1.1808,                0.28322,                0.22564,                 0.1889,                0.13406,                 1.1782,                 1.9687,                 1.3723,               0.005743,               0.005743,               0.005743
                     45,                 1.0047,                 1.5299,                 1.1828,                0.23222,                  0.201,                0.18005,                0.12715,                  1.124,                 1.9077,                  1.347,               0.005644,               0.005644,               0.005644
                     46,                0.97862,                 1.5264,                 1.1591,                0.21373,                0.20446,                0.18187,                0.12368,                 1.1681,                 2.0068,                 1.3796,               0.005545,               0.005545,               0.005545
                     47,                0.95448,                 1.5163,                 1.1647,                0.27766,                0.22426,                0.18565,                0.12728,                 1.1419,                 1.9444,                  1.347,               0.005446,               0.005446,               0.005446
                     48,                0.96471,                 1.4634,                 1.1652,                0.26061,                0.19667,                0.16965,                0.11757,                 1.1625,                 1.9659,                 1.3845,               0.005347,               0.005347,               0.005347
                     49,                0.99005,                 1.4488,                 1.1691,                0.25983,                0.18907,                0.17565,                0.12231,                 1.1381,                 1.9723,                 1.3873,               0.005248,               0.005248,               0.005248
                     50,                0.95453,                 1.4615,                 1.1612,                 0.2278,                0.22152,                0.17541,                0.12472,                 1.1509,                 2.0137,                 1.3849,               0.005149,               0.005149,               0.005149
                     51,                0.96676,                 1.4457,                 1.1629,                 0.3089,                 0.2164,                0.21213,                0.15323,                 1.1199,                 1.8372,                 1.3939,                0.00505,                0.00505,                0.00505
                     52,                0.91597,                 1.3579,                 1.1386,                 0.3758,                0.19851,                0.17501,                0.12696,                 1.1748,                 1.9208,                 1.4236,               0.004951,               0.004951,               0.004951
                     53,                0.94379,                 1.3776,                 1.1441,                0.24554,                0.21305,                0.19781,                0.14845,                 1.0991,                 1.8511,                 1.3237,               0.004852,               0.004852,               0.004852
                     54,                0.93768,                 1.3979,                 1.1445,                0.30821,                0.18687,                0.19496,                0.13831,                 1.0998,                 1.7841,                 1.3567,               0.004753,               0.004753,               0.004753
                     55,                0.90724,                 1.3335,                 1.1149,                0.30303,                0.21297,                0.18635,                0.13579,                 1.1449,                 1.8888,                 1.3723,               0.004654,               0.004654,               0.004654
                     56,                0.90509,                 1.3085,                 1.1343,                0.31434,                0.21624,                0.18549,                0.12971,                 1.1546,                 1.9497,                 1.3802,               0.004555,               0.004555,               0.004555
                     57,                0.90019,                 1.3579,                 1.1292,                0.20208,                0.26284,                0.18745,                0.12761,                 1.1696,                 1.9507,                 1.4165,               0.004456,               0.004456,               0.004456
                     58,                0.90636,                 1.2995,                 1.1315,                0.24451,                0.22936,                0.16204,                0.11349,                 1.1326,                 1.9162,                 1.3714,               0.004357,               0.004357,               0.004357
                     59,                0.87154,                 1.2424,                 1.1156,                0.26488,                0.16863,                0.16748,                0.11413,                 1.1247,                 1.9573,                 1.3749,               0.004258,               0.004258,               0.004258
                     60,                 0.8571,                 1.2239,                 1.0983,                0.22468,                0.20926,                0.16602,                0.11938,                 1.1159,                 2.0238,                 1.3811,               0.004159,               0.004159,               0.004159
                     61,                0.86096,                 1.1934,                 1.1039,                0.24866,                0.24415,                0.18945,                0.13067,                 1.1508,                 2.0124,                 1.3728,                0.00406,                0.00406,                0.00406
                     62,                0.87431,                 1.1894,                 1.1246,                0.33555,                0.19819,                0.20662,                0.14104,                 1.1072,                 1.8522,                 1.3738,               0.003961,               0.003961,               0.003961
                     63,                0.89231,                 1.2558,                 1.1354,                0.34049,                0.19993,                0.19801,                0.13194,                 1.1734,                 1.9235,                 1.4151,               0.003862,               0.003862,               0.003862
                     64,                0.83426,                 1.1442,                 1.0883,                0.34326,                0.20902,                0.20731,                0.14252,                 1.0973,                 1.9072,                 1.3585,               0.003763,               0.003763,               0.003763
                     65,                0.83208,                 1.1657,                 1.0721,                0.22761,                0.23432,                 0.1897,                0.13783,                 1.0673,                 1.9307,                 1.3209,               0.003664,               0.003664,               0.003664
                     66,                0.84825,                 1.1638,                 1.0964,                0.26836,                0.18866,                0.18416,                0.12911,                 1.1087,                 1.9045,                 1.3618,               0.003565,               0.003565,               0.003565
                     67,                 0.8238,                  1.106,                   1.08,                0.24462,                0.24099,                0.17779,                0.12522,                   1.11,                 2.0277,                 1.3163,               0.003466,               0.003466,               0.003466
                     68,                 0.8251,                 1.1218,                 1.0933,                0.24301,                 0.2297,                0.17928,                0.12712,                  1.073,                 1.9904,                  1.308,               0.003367,               0.003367,               0.003367
